La	F	dta	D50a	Fd	dsa	Source
100	12.05568121	25	0.358	15.68585767	10.8	Aamir2022
100	12.05568121	28	0.358	15.68585767	11.2	Aamir2022
100	12.05568121	30	0.358	15.68585767	11.4	Aamir2022
100	12.05568121	32	0.358	15.68585767	11.6	Aamir2022
100	12.05568121	36	0.358	15.68585767	12.2	Aamir2022
100	12.05568121	40	0.358	15.68585767	12.6	Aamir2022
50	4.246363198	10	0.179	7.813554571	4.4	Aamir2022
50	4.246363198	11	0.179	7.813554571	4.2	Aamir2022
50	4.246363198	12.5	0.179	7.813554571	4	Aamir2022
50	4.246363198	14	0.179	7.813554571	4.3	Aamir2022
50	4.246363198	15	0.179	7.813554571	5	Aamir2022
50	4.246363198	16	0.179	7.813554571	5.5	Aamir2022
50	4.246363198	18	0.179	7.813554571	5.8	Aamir2022
50	4.246363198	20	0.179	7.813554571	6	Aamir2022
33.33333333	2.320116931	6.666666667	0.119333333	5.228619224	2.333333333	Aamir2022
33.33333333	2.320116931	7.333333333	0.119333333	5.228619224	2.2	Aamir2022
33.33333333	2.320116931	8.333333333	0.119333333	5.228619224	2.133333333	Aamir2022
33.33333333	2.320116931	9.333333333	0.119333333	5.228619224	2.2	Aamir2022
33.33333333	2.320116931	10	0.119333333	5.228619224	2.266666667	Aamir2022
33.33333333	2.320116931	10.66666667	0.119333333	5.228619224	2.333333333	Aamir2022
33.33333333	2.320116931	12	0.119333333	5.228619224	3.2	Aamir2022
33.33333333	2.320116931	13.33333333	0.119333333	5.228619224	3.466666667	Aamir2022
80	12.05568121	20	0.358	15.68585767	11.2	Aamir2022
80	12.05568121	25	0.358	15.68585767	11	Aamir2022
80	12.05568121	30	0.358	15.68585767	11.8	Aamir2022
40	4.246363198	10	0.179	7.813554571	4.8	Aamir2022
40	4.246363198	12.5	0.179	7.813554571	4.7	Aamir2022
40	4.246363198	15	0.179	7.813554571	4.9	Aamir2022
26.66666667	2.320116931	6.666666667	0.119333333	5.228619224	2.8	Aamir2022
26.66666667	2.320116931	8.333333333	0.119333333	5.228619224	2.8	Aamir2022
26.66666667	2.320116931	10	0.119333333	5.228619224	2.866666667	Aamir2022
60	12.05568121	20	0.358	15.68585767	11.8	Aamir2022
60	12.05568121	25	0.358	15.68585767	11.4	Aamir2022
60	12.05568121	30	0.358	15.68585767	12.2	Aamir2022
